NU_INSCRICAO,NU_ANO,TP_SEXO,TP_COR_RACA,TP_ESTADO_CIVIL,TP_NACIONALIDADE,SG_UF_RESIDENCIA,TP_ST_CONCLUSAO,Q001,Q002,Q003,Q004,Q006,NU_IDADE,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,NU_NOTA_REDACAO,Q005,NU_NOTA_MEDIA,APPROVED_ADM,APPROVED_MED
190005191161,2019,F,3,1,1,CE,3,E,E,D,D,I,17,553.5,573.6,573.4,649.8,760.0,3,587.575,1,0
190005132821,2019,F,1,1,1,SP,2,C,E,C,E,C,17,471.0,512.2,527.3,501.5,580.0,5,503.0,0,0
190004505408,2019,M,1,1,1,MG,1,C,C,C,B,F,20,522.1,624.8,636.5,614.6,380.0,4,599.5,1,0
190002475899,2019,M,3,1,1,SP,1,E,E,B,B,D,21,486.1,634.4,577.0,544.9,660.0,4,560.6,0,0
190001034970,2019,F,3,1,1,PA,2,E,C,B,B,B,20,444.4,514.1,508.2,436.9,0.0,3,475.9,0,0
190004189245,2019,F,3,1,1,MG,1,B,E,C,B,B,18,471.0,547.2,575.0,501.5,360.0,4,523.675,0,0
190003081719,2019,M,2,1,1,PI,1,E,D,A,A,A,19,439.0,395.7,440.1,490.7,600.0,6,441.37500000000006,0,0
190004021850,2019,F,2,1,1,MG,1,B,C,A,C,C,18,469.1,579.6,568.1,613.9,560.0,4,557.6750000000001,0,0
190001266680,2019,M,1,1,1,MG,1,F,F,C,B,G,21,622.5,663.4,610.1,767.1,780.0,3,665.775,1,0
190003252751,2019,M,3,1,1,CE,1,E,G,B,D,B,20,566.1,563.3,520.5,536.7,960.0,3,546.6500000000001,0,0
190002372640,2019,F,3,1,1,MG,2,B,B,C,D,C,18,405.3,436.9,350.4,544.6,540.0,4,434.29999999999995,0,0
190001284537,2019,F,5,1,1,MG,2,E,G,B,D,H,18,476.2,539.8,510.2,497.3,540.0,4,505.875,0,0
190001464181,2019,M,3,1,1,RN,2,F,F,A,B,D,17,483.0,549.5,565.0,715.8,920.0,4,578.325,1,0
190002200007,2019,F,3,1,1,RN,3,B,D,B,C,B,17,479.7,574.5,534.3,634.4,740.0,5,555.725,0,0
190001284934,2019,F,3,1,1,MG,2,D,C,D,F,G,17,352.7,353.3,495.0,432.0,580.0,3,408.25,0,0
190002993171,2019,F,1,0,1,DF,1,B,E,A,A,E,31,471.0,512.2,527.3,501.5,580.0,6,503.0,0,0
190001433427,2019,F,3,1,1,BA,1,B,F,A,D,D,23,545.1,518.2,482.5,553.3,640.0,5,524.7750000000001,0,0
190003148621,2019,F,3,1,1,ES,2,E,E,E,C,C,18,411.7,393.1,467.0,440.7,480.0,5,428.125,0,0
190004116926,2019,F,1,1,1,CE,3,C,C,A,A,B,17,405.0,465.9,492.4,438.0,640.0,5,450.325,0,0
190005299489,2019,M,1,1,1,MG,3,C,G,C,D,M,17,598.6,649.0,610.6,769.6,720.0,3,656.9499999999999,1,0
190002678479,2019,F,1,1,1,RS,1,E,E,B,D,E,18,561.3,576.7,616.7,626.3,720.0,4,595.25,1,0
190003839870,2019,F,3,1,1,RS,2,C,E,C,C,C,18,384.5,379.8,442.1,443.5,340.0,3,412.475,0,0
190005775199,2019,M,1,2,1,MG,1,D,D,C,B,C,42,577.7,584.4,589.5,523.7,520.0,3,568.825,0,0
190005486972,2019,F,3,1,1,RJ,1,E,E,D,D,F,18,568.7,538.2,548.2,506.4,700.0,4,540.375,0,0
190005208468,2019,M,3,1,1,PB,1,A,E,B,B,B,24,494.7,579.3,572.5,465.1,600.0,5,527.9,0,0
190002098908,2019,F,1,1,1,SP,1,H,C,F,C,C,18,404.0,490.1,555.5,487.2,620.0,3,484.2,0,0
190002606083,2019,M,3,1,1,MG,2,E,C,C,C,F,17,431.6,542.2,558.3,637.7,700.0,4,542.45,0,0
190005900757,2019,M,1,2,1,SC,1,E,D,B,A,H,34,536.5,421.7,543.4,523.5,440.0,4,506.275,0,0
190002624925,2019,F,1,1,1,BA,3,B,B,A,A,B,17,479.3,542.7,494.3,468.9,620.0,4,496.29999999999995,0,0
190002909150,2019,F,3,3,1,GO,1,E,C,C,B,C,27,455.0,525.4,546.9,492.0,520.0,5,504.825,0,0
190004191140,2019,F,0,1,1,CE,2,B,E,B,B,B,17,383.7,376.1,399.9,416.5,600.0,4,394.04999999999995,0,0
190002923814,2019,F,2,1,1,AL,1,B,B,B,B,B,19,471.0,512.2,527.3,501.5,580.0,8,503.0,0,0
190002109677,2019,F,1,1,1,SP,2,D,D,C,B,B,17,400.3,516.9,515.2,457.3,320.0,4,472.425,0,0
190004567480,2019,M,1,1,1,PA,2,B,E,D,F,C,17,622.4,643.5,587.6,653.4,880.0,5,626.725,1,0
190001253919,2019,F,3,1,1,BA,3,E,E,C,B,B,16,411.9,527.6,555.1,484.5,560.0,4,494.775,0,0
190003380711,2019,F,3,0,1,SP,1,B,B,C,B,E,40,411.2,510.5,484.5,437.1,460.0,4,460.82500000000005,0,0
190004870056,2019,F,1,1,1,PR,3,F,G,D,D,L,16,568.3,550.4,579.2,495.8,640.0,3,548.425,0,0
190002514354,2019,F,2,1,1,SP,2,E,E,C,C,G,18,599.6,578.8,626.7,693.0,700.0,4,624.5250000000001,1,0
190003133591,2019,M,1,1,1,RJ,3,F,F,D,D,G,17,471.0,512.2,527.3,501.5,580.0,4,503.0,0,0
190004787494,2019,M,1,1,1,RS,2,B,A,F,B,C,18,540.9,510.6,529.2,559.7,320.0,4,535.1,0,0
190003778993,2019,M,3,1,1,MG,1,C,E,D,B,C,19,509.6,576.8,546.4,689.0,640.0,3,580.45,1,0
190001456119,2019,M,4,4,1,PB,1,C,C,A,B,B,47,471.0,512.2,527.3,501.5,580.0,1,503.0,0,0
190001692636,2019,F,1,1,1,SC,2,E,E,C,D,C,17,542.2,413.9,528.0,477.7,760.0,3,490.45,0,0
190003292537,2019,F,3,1,1,CE,2,F,D,D,C,B,17,382.4,489.3,518.7,461.9,380.0,5,463.07500000000005,0,0
190002298893,2019,F,2,1,1,BA,2,E,E,B,B,C,25,378.9,494.2,458.8,420.8,340.0,3,438.17499999999995,0,0
190004601523,2019,M,3,1,1,PA,1,C,C,B,B,B,24,471.0,512.2,527.3,501.5,580.0,1,503.0,0,0
190002080368,2019,M,1,1,1,SP,2,E,G,F,F,F,17,531.6,485.1,567.4,474.2,720.0,2,514.5749999999999,0,0
190003146013,2019,M,1,1,1,RJ,1,B,A,D,B,E,22,581.2,616.3,601.1,649.5,620.0,3,612.025,1,0
190004738304,2019,M,1,1,1,SP,1,C,C,F,B,C,18,346.8,395.1,325.9,377.4,280.0,4,361.30000000000007,0,0
190004360999,2019,F,0,1,1,RJ,1,H,H,F,F,D,24,471.0,512.2,527.3,501.5,580.0,2,503.0,0,0
190003032199,2019,F,2,1,1,AM,2,E,E,F,F,B,17,392.5,447.6,464.6,437.1,460.0,2,435.45000000000005,0,0
190003117860,2019,F,3,1,1,PA,1,E,E,B,B,C,31,365.4,374.6,332.8,407.5,400.0,2,370.075,0,0
190005156737,2019,F,1,1,1,SP,3,C,D,C,F,D,16,545.7,567.1,604.5,650.7,560.0,4,592.0,1,0
190004118253,2019,F,3,0,1,GO,1,A,A,A,A,B,28,407.1,532.1,501.8,556.0,520.0,4,499.25,0,0
190002165125,2019,F,3,1,1,BA,2,C,B,A,A,B,19,445.2,394.5,490.3,425.5,340.0,5,438.875,0,0
190003838034,2019,F,2,1,1,GO,2,D,C,B,B,B,18,439.3,533.0,480.6,393.9,540.0,4,461.70000000000005,0,0
190003157093,2019,F,3,1,1,RJ,2,B,B,F,B,B,19,381.2,434.0,412.4,451.5,320.0,2,419.775,0,0
190001802086,2019,F,1,1,1,SP,2,G,E,D,B,M,17,572.3,624.0,607.0,727.2,800.0,4,632.625,1,0
190002570789,2019,F,3,1,1,CE,2,B,E,A,A,B,18,377.3,466.9,445.6,417.8,0.0,4,426.90000000000003,0,0
190002584246,2019,F,1,1,1,AL,1,B,E,A,D,C,21,412.3,487.8,524.8,479.9,600.0,6,476.20000000000005,0,0
190003159077,2019,F,3,2,1,ES,1,B,A,A,A,D,43,527.5,502.5,510.5,377.5,400.0,3,479.5,0,0
190002051195,2019,F,3,1,1,GO,3,C,B,A,A,B,17,479.7,423.7,490.7,451.1,0.0,4,461.29999999999995,0,0
190003179131,2019,F,4,1,1,ES,2,B,D,C,C,C,17,349.9,498.2,572.9,675.6,780.0,4,524.15,0,0
190002084673,2019,F,3,1,1,SP,1,E,E,F,B,C,21,471.0,512.2,527.3,501.5,580.0,3,503.0,0,0
190003458288,2019,F,3,1,1,MG,2,F,G,C,D,J,17,556.5,611.3,574.3,683.4,580.0,7,606.375,1,0
190003351052,2019,F,1,1,1,SP,1,F,E,E,D,D,18,471.0,512.2,527.3,501.5,580.0,2,503.0,0,0
190002761081,2019,F,3,1,1,PB,2,E,C,C,B,B,18,475.0,507.1,536.0,577.1,560.0,6,523.8,0,0
190005894382,2019,M,1,1,1,SP,3,G,G,D,D,I,16,502.3,576.8,555.9,523.3,500.0,3,539.575,0,0
190003363344,2019,M,4,1,1,PR,1,D,E,B,B,D,20,554.9,538.9,526.4,555.4,540.0,1,543.9,0,0
190001753193,2019,M,3,1,1,GO,1,E,E,D,F,E,20,484.5,402.7,466.4,577.9,360.0,4,482.875,0,0
190005710628,2019,F,2,1,1,RN,1,A,A,A,A,B,35,465.6,530.8,531.2,454.6,400.0,3,495.54999999999995,0,0
190005468965,2019,F,1,1,2,PI,2,C,C,B,B,B,18,383.9,444.1,398.4,454.8,0.0,2,420.3,0,0
190003333870,2019,M,3,1,1,RJ,1,G,F,D,D,Q,18,669.1,641.8,625.5,869.8,960.0,4,701.55,1,0
190002629935,2019,F,3,1,1,MG,2,D,D,C,E,E,17,471.0,512.2,527.3,501.5,580.0,4,503.0,0,0
190004327704,2019,M,3,1,1,PI,1,B,E,A,D,G,27,596.9,540.6,548.3,598.6,540.0,2,571.1,1,0
190005803920,2019,F,3,1,1,RJ,1,E,E,D,F,L,21,471.0,512.2,527.3,501.5,580.0,3,503.0,0,0
190002864332,2019,F,1,1,1,GO,2,D,D,B,B,C,18,471.0,512.2,527.3,501.5,580.0,5,503.0,0,0
190004519592,2019,F,3,0,1,MG,1,D,C,C,B,D,20,548.9,603.3,570.9,462.0,400.0,2,546.275,0,0
190004847326,2019,F,1,2,1,RO,4,E,E,C,F,B,23,471.0,512.2,527.3,501.5,580.0,3,503.0,0,0
190001480582,2019,F,4,1,1,PB,1,B,C,B,B,B,19,471.0,512.2,527.3,501.5,580.0,4,503.0,0,0
190001915615,2019,M,3,0,1,CE,1,B,B,C,B,E,30,471.0,512.2,527.3,501.5,580.0,5,503.0,0,0
190004233818,2019,M,1,1,1,SP,2,F,G,E,E,N,19,518.7,614.6,583.0,651.5,680.0,3,591.95,1,0
190003313912,2019,F,3,1,1,RJ,2,E,D,C,B,H,18,455.8,479.4,545.5,491.8,460.0,4,493.125,0,0
190001411754,2019,M,2,1,1,BA,2,E,C,C,B,C,20,473.5,549.6,492.5,386.5,620.0,4,475.525,0,0
190003637093,2019,F,1,1,1,SP,3,F,F,E,E,M,16,482.7,555.4,577.2,437.1,640.0,4,513.1,0,0
190005710650,2019,F,1,1,1,RN,1,G,E,E,B,D,20,471.0,512.2,527.3,501.5,580.0,4,503.0,0,0
190001318394,2019,F,1,1,1,MG,2,H,E,F,B,B,18,369.6,500.6,487.6,510.1,320.0,5,466.975,0,0
190002068436,2019,M,3,1,1,GO,2,E,C,B,F,E,18,478.3,528.8,518.4,370.0,560.0,5,473.875,0,0
190004378239,2019,F,3,1,1,SP,2,C,D,D,B,B,18,471.0,409.2,456.4,501.5,400.0,6,459.525,0,0
190003553177,2019,F,1,1,1,MG,2,G,F,E,E,K,17,553.3,593.5,608.8,714.1,920.0,5,617.425,1,0
190004164773,2019,M,3,1,1,CE,1,E,D,E,F,G,19,446.3,527.5,547.4,577.8,640.0,4,524.75,0,0
190003157730,2019,M,3,1,1,MG,1,B,F,A,D,C,47,471.0,512.2,527.3,501.5,580.0,1,503.0,0,0
190004660468,2019,F,3,1,1,RJ,2,B,A,A,B,B,19,366.2,363.1,397.0,423.1,440.0,5,387.35,0,0
190002191159,2019,F,2,1,1,MG,1,B,B,A,A,C,25,455.1,439.5,514.6,589.9,420.0,4,499.775,0,0
190002236663,2019,M,3,1,1,PB,2,H,H,C,B,A,20,376.7,402.8,491.3,433.4,540.0,3,426.04999999999995,0,0
190001326988,2019,F,3,1,1,MG,1,A,B,A,B,C,19,423.5,481.6,518.1,410.8,600.0,6,458.5,0,0
190001569011,2019,M,1,1,1,ES,2,D,C,D,C,C,20,485.1,484.5,535.3,422.8,0.0,3,481.925,0,0
190003400412,2019,F,1,1,1,SC,1,D,D,B,B,E,23,494.5,609.7,588.4,383.2,600.0,5,518.9499999999999,0,0
190004697272,2019,F,3,0,1,RO,1,H,H,F,F,B,39,471.0,512.2,527.3,501.5,580.0,4,503.0,0,0
190001837254,2019,M,3,1,1,SP,2,D,E,B,B,E,17,403.9,547.6,517.4,458.1,620.0,3,481.75,0,0
190005767977,2019,M,3,1,1,MG,2,F,E,B,B,E,17,458.9,528.9,539.0,556.5,620.0,4,520.825,0,0
190005407686,2019,M,3,1,1,PA,1,E,E,A,B,D,25,471.0,512.2,527.3,501.5,580.0,6,503.0,0,0
190004898034,2019,F,3,1,2,PR,2,D,D,C,C,C,23,433.7,496.3,492.4,404.3,360.0,1,456.675,0,0
190005314668,2019,M,1,1,1,SC,1,F,E,D,B,G,18,475.1,558.4,575.0,706.5,700.0,5,578.75,1,0
