NU_INSCRICAO,NU_IDADE,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,NU_NOTA_COMP1,NU_NOTA_COMP2,NU_NOTA_COMP3,NU_NOTA_COMP4,NU_NOTA_COMP5,NU_NOTA_REDACAO,Q005,NU_NOTA_MEDIA
190001082475,17.0,385.8,436.3,398.67500000000007,370.0,100.0,90.0,90.0,90.0,0.0,260.0,4.0,397.69375
190002037440,17.0,389.7,431.1,482.0,529.7,120.0,120.0,120.0,120.0,80.0,560.0,4.0,458.125
190001692705,31.0,513.7,572.8,529.4,490.9,120.0,140.0,120.0,90.0,60.0,520.0,2.0,526.7
190001475149,25.0,399.8,456.5,539.5,372.7,100.0,120.0,90.0,90.0,60.0,440.0,2.0,442.125
190001595665,19.0,587.9,595.9,563.7,533.6,120.0,160.0,140.0,100.0,100.0,620.0,4.0,570.275
190001042835,21.0,463.9,559.7,542.1,377.9,140.0,160.0,160.0,160.0,120.0,740.0,5.0,485.9
190001237809,20.0,601.6,555.5,557.0,729.8,160.0,140.0,170.0,170.0,160.0,840.0,5.0,610.9749999999999
190001133212,33.0,457.9,580.9,501.8,447.4,100.0,120.0,120.0,100.0,0.0,440.0,4.0,497.0
190001595666,24.0,472.7,590.1,563.4,444.8,160.0,160.0,160.0,140.0,140.0,760.0,3.0,517.75
190001493191,19.0,574.0,570.3,593.0,584.9,140.0,170.0,160.0,160.0,180.0,820.0,6.0,580.55
190001517224,22.0,501.7,593.3,604.5,622.5,120.0,120.0,120.0,120.0,120.0,600.0,8.0,580.5
190001595667,20.0,457.2,556.3,518.2,465.5,140.0,120.0,120.0,160.0,160.0,700.0,4.0,499.3
190001692706,19.0,384.7,556.9,547.4,568.8,140.0,120.0,120.0,140.0,0.0,520.0,3.0,514.45
190001517225,22.0,416.7,491.8,488.7,406.5,120.0,100.0,120.0,90.0,60.0,480.0,3.0,450.925
190002037441,25.0,390.6,599.1,561.9,469.4,140.0,140.0,160.0,120.0,100.0,660.0,6.0,505.25
190001210203,21.0,475.3,525.2,579.6,599.2,140.0,120.0,100.0,120.0,0.0,480.0,3.0,544.825
190001779795,33.0,377.7,526.8,479.4,429.0,120.0,120.0,120.0,120.0,100.0,580.0,1.0,453.225
190001121526,24.0,432.9,441.7,476.5,430.1,100.0,120.0,90.0,90.0,80.0,460.0,3.0,445.29999999999995
190001121527,17.0,427.6,548.8,587.2,699.3,160.0,170.0,140.0,140.0,200.0,820.0,6.0,565.7249999999999
190001692707,33.0,522.6,639.3,590.9,666.3,160.0,120.0,120.0,160.0,160.0,720.0,5.0,604.7750000000001
190001421559,31.0,413.6,463.5,431.3,389.7,90.0,100.0,90.0,90.0,0.0,340.0,8.0,424.52500000000003
190001517226,33.0,461.7,577.0,553.5,422.7,100.0,140.0,120.0,90.0,80.0,520.0,2.0,503.725
190001595670,19.0,594.7,640.8,626.2,624.2,120.0,160.0,160.0,160.0,120.0,720.0,5.0,621.475
190001779796,27.0,448.7,410.9,460.9,434.3,100.0,120.0,90.0,90.0,60.0,420.0,2.0,438.7
190001042836,17.0,510.9,585.4,578.4,605.2,160.0,170.0,160.0,170.0,160.0,880.0,3.0,569.9749999999999
