,NU_INSCRICAO,NU_ANO,NU_IDADE,TP_COR_RACA,TP_ESTADO_CIVIL,TP_NACIONALIDADE,TP_SEXO,NO_MUNICIPIO_RESIDENCIA,SG_UF_RESIDENCIA,TP_ST_CONCLUSAO,TP_ENSINO,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,NU_NOTA_COMP1,NU_NOTA_COMP2,NU_NOTA_COMP3,NU_NOTA_COMP4,NU_NOTA_COMP5,NU_NOTA_REDACAO,IN_BRAILLE,IN_AMPLIADA_18,IN_AMPLIADA_24,IN_LEDOR,IN_ACESSO,IN_TRANSCRICAO,IN_LIBRAS,Q001,Q002,Q003,Q004,Q005,Q006
7068,190003090607,2019,17,3,1,1,M,Macapá,AP,2,1,453.1,472.8,396.8,388.8,120,100,80,80,0,380,0,0,0,0,0,0,0,A,D,A,A,5,C
7069,190004505137,2019,29,3,1,1,F,Várzea Grande,MT,1,,,,,,,,,,,,0,0,0,0,0,0,0,A,A,B,B,2,B
7070,190004267439,2019,19,1,1,1,F,Agudo,RS,1,,588.3,596.3,614.6,690.2,180,120,200,160,200,860,0,0,0,0,0,0,0,E,E,D,C,4,F
7071,190004849665,2019,18,3,1,1,F,Caçu,GO,1,,584.8,626,572.4,622.7,160,160,160,160,160,800,0,0,0,0,0,0,0,F,F,F,F,4,I
7072,190006117445,2019,18,3,1,1,F,Brasília de Minas,MG,1,,611.2,615,616.2,665.4,180,200,200,200,200,980,0,0,0,0,0,0,0,F,G,D,D,4,G
7073,190004806735,2019,20,1,1,1,F,Ribeirão Preto,SP,1,,646.8,575.3,637.9,751.7,160,140,160,140,160,760,0,0,0,0,0,0,0,G,E,D,C,4,J
7074,190005785692,2019,19,3,1,1,F,Teófilo Otoni,MG,1,,377.7,408.4,464.9,387.7,100,40,40,100,0,280,0,0,0,0,0,0,0,B,B,A,B,4,C
7075,190006034945,2019,23,1,1,1,F,Barra do Garças,MT,1,,377.9,545.9,568.2,520.3,160,200,140,140,80,720,0,0,0,0,0,0,0,G,F,D,B,3,F
7076,190005540088,2019,27,1,1,1,M,Santana,AP,1,1,,,,,,,,,,,0,0,0,0,0,0,0,B,D,B,F,4,B
7077,190004565091,2019,15,3,1,1,F,José de Freitas,PI,3,,392.7,491.7,534.2,439,140,80,120,100,100,540,0,0,0,0,0,0,0,B,E,C,D,3,B
7078,190005115252,2019,21,3,1,1,F,Embu das Artes,SP,1,1,532.3,600.6,585,623,140,140,160,120,160,720,0,0,0,0,0,0,0,B,E,C,B,2,D
7079,190001157490,2019,19,3,0,1,F,Caucaia,CE,2,1,,,,,,,,,,,0,0,0,0,0,0,0,E,D,B,B,6,C
7080,190004507850,2019,34,3,1,1,M,Camaçari,BA,1,1,535,570.7,516.8,407.8,120,120,120,100,0,460,0,0,0,0,0,0,0,B,C,C,B,4,E
7081,190001400851,2019,24,2,1,1,M,Santa Rita de Cássia,BA,1,1,533,396.2,493,525.8,100,120,120,100,120,560,0,0,0,0,0,0,0,H,E,F,B,3,B
7082,190002320009,2019,18,1,1,1,F,Curitiba,PR,1,,585.3,586.4,588.5,672.7,160,140,180,180,120,780,0,0,0,0,0,0,0,E,D,E,D,8,J
7083,190003577429,2019,21,3,1,1,F,São Luís,MA,1,,,,,,,,,,,,0,0,0,0,0,0,0,H,C,F,B,5,C
7084,190004130448,2019,19,3,1,1,F,Ingá,PB,1,1,421.8,411.4,512.6,494.3,140,120,120,140,120,640,0,0,0,0,0,0,0,B,B,A,A,5,B
7085,190001257106,2019,24,2,1,1,F,Senhor do Bonfim,BA,1,1,377.4,408.1,481.7,426.9,0,0,0,0,0,0,0,0,0,0,0,0,0,D,D,D,F,4,C
7086,190003260484,2019,15,3,1,1,F,São Gonçalo do Amarante,CE,3,,407,353.8,434.9,491.1,120,120,120,100,100,560,0,0,0,0,0,0,0,H,H,F,F,6,C
7087,190003221329,2019,20,3,1,1,M,Porto Velho,RO,1,1,467,459.5,488.6,568.9,140,120,120,180,140,700,0,0,0,0,0,0,0,E,E,A,D,3,D
7088,190004135211,2019,18,1,1,1,F,Brasília,DF,2,1,500.4,526.1,505.8,372.7,120,120,120,120,140,620,0,0,0,0,0,0,0,H,E,B,B,3,B
7089,190005417561,2019,20,3,1,1,M,Garrafão do Norte,PA,1,1,414.7,521.2,517.9,432.7,80,160,120,80,120,560,0,0,0,0,0,0,0,C,A,A,A,6,B
7090,190005268082,2019,28,3,1,1,F,Pindaí,BA,1,1,440.1,519.4,536.2,519.3,120,120,120,100,40,500,0,0,0,0,0,0,0,B,E,C,C,2,C
7091,190004186932,2019,43,3,1,1,F,Marituba,PA,1,,373.9,463.3,438.9,579.5,100,120,80,100,100,500,0,0,0,0,0,0,0,B,B,B,B,3,B
7092,190003730782,2019,24,3,1,1,M,Salvador,BA,1,,,,,,,,,,,,0,0,0,0,0,0,0,F,G,D,E,3,J
7093,190001312381,2019,24,3,0,1,M,Juiz de Fora,MG,1,1,,,,,,,,,,,0,0,0,0,0,0,0,E,F,B,D,3,C
7094,190002275495,2019,18,2,1,1,F,Feira de Santana,BA,1,1,616,551,573.6,634.6,180,200,200,180,180,940,0,0,0,0,0,0,0,H,E,F,D,3,C
7095,190002873660,2019,18,3,1,2,F,Anápolis,GO,2,1,461.5,520.3,534.1,506.4,120,120,140,140,120,640,0,0,0,0,0,0,0,B,D,C,C,4,D
7096,190001906752,2019,18,3,1,1,M,Faxinal,PR,2,1,535.5,558.9,550,626,120,140,120,140,140,660,0,0,0,0,0,0,0,E,D,A,B,4,C
7097,190001960181,2019,17,1,1,1,M,Araripe,CE,3,,437.9,510.4,451.9,483.6,80,60,40,80,0,260,0,0,0,0,0,0,0,F,E,D,A,6,B
